code,subdivision_name,,x_axis,y_axis
IN.AP,Andhra Pradesh,,-95,-138
IN.AR,Arunachal Pradesh,,223,163
IN.AS,Assam,,161,113
IN.BR,Bihar,,40,102
IN.CT,Chhattisgarh,,-28,-1
IN.GA,Goa,,-191,-139
IN.GJ,Gujarat,,-245,36
IN.HR,Haryana,,-139,171
IN.HP,Himachal Pradesh,,-118,231
IN.JK,Jammu and Kashmir,,-156,304
IN.JH,Jharkhand,,28,55
IN.KA,Karnataka,,-168,-156
IN.KL,Kerala,,-141,-248
IN.MP,Madhya Pradesh,,-134,39
IN.MH,Maharashtra,,-184,-53
IN.MN,Manipur,,225,84
IN.ML,Meghalaya,,152,95
IN.MZ,Mizoram,,213,47
IN.NL,Nagaland,,246,124
IN.OR,Odisha,,21,-21
IN.PB,Punjab,,-150,208
IN.RJ,Rajasthan,,-239,125
IN.SK,Sikkim,,119,141
IN.TN,Tamil Nadu,,-96,-224
IN.TG,Telangana,,-88,-77
IN.TR,Tripura,,171,47
IN.UT,Uttarakhand,,-78,195
IN.UP,Uttar Pradesh,,-78,146
IN.WB,West Bengal,,92,38
